name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Lloyds (GB),GB,United Kingdom,2020,833119426146,68259018872,74040332461,148644650340,15208269720262,21007162764,28539648287,8445426737402,13396623851,5956419697,101091176042,80664647899
Mizuho (JP),JP,Japan,2020,1911277797018,125535257548,146722804887,269818942846,43599791916535,786464775441,154018531483,11144429739896,93822649610,30008553524,452476359362,310576270980
Morgan Stanley (US),US,USA,2020,1102940266212,181204465903,54918914541,310974655846,12742310331450,2546389048605,386151903051,25120112472679,153162741499,16209762864,322575992336,272274468393
MUFG (JP),JP,Japan,2020,3028162526130,229378083544,248574696777,252173564920,84721872806516,1974255613103,128248546534,11905474195476,148403287890,9332278876,771248837782,594815420721
National Australia Bank (AU),AU,Australia,2020,610668344224,63164838019,53932203519,168850387230,13857791960940,328276891712,1405024446,5242681976594,17551312707,634775964,140404709144,183266746745
Natwest (GB),GB,United Kingdom,2020,789309144272,71692824486,121256242835,91999154641,26426183774897,472198925492,67815312056,14474489171142,5543752711,1916510016,219537723984,133391544215
Nomura (JP),JP,Japan,2020,414769818289,72662388336,74558745515,53916436891,24111424925548,334146845764,143580530126,22130813923533,44002189478,6599823734,218837489399,190735800819
Nonghyup (KR),KR,Korea,2020,347860338513,57668077532,13918779063,26412511628,498142985369,248736940276,34778952292,172677973687,16473912961,6586264794,6662822658,6769909485
Nordea (FI),FI,Finland,2020,531967868600,84230675000,29915014000,208262728000,21797714923000,770000000000,80000262000,6488526379000,14784066000,3765393000,355002244000,171126221000
Norinchukin (JP),JP,Japan,2020,864675347938,67039873906,50167616120,27320249117,2943053529987,32982171994,26484306,223680118799,79288970023,480106054,390036763791,125403752857
Ping An (CN),CN,China,2020,657795578549,35525579798,64348952267,131536595807,15675007839692,723910736760,39277033187,855872226450,36086649924,25497912021,7705068655,19625956918
PNC (US),US,USA,2020,447559967542,26283906785,16661233812,94889116663,3186599300734,89341380535,32807432173,371218319799,18751868643,4186094045,8135441288,2738978080
Rabobank (NL),NL,Netherlands,2020,560983100000,22852000000,43238000000,121784000000,27421621000000,1000000,5271000000,4588925000000,1829000000,2191000000,231691000000,90286000000
RBC (CA),CA,Canada,2020,1135383843820,119643960733,104717298402,214699810191,31339757780626,2861406366092,239825121983,14529113109833,38165493939,1827456663,463062868236,364812443728
Santander (ES),ES,Spain,2020,1556279113981,82492593651,136617118964,253139095224,10574343333264,461319298000,80051000000,5665378631000,17141341812,8262497000,1030507897000,726741135000
Sberbank (RU),RU,Russia,2020,429392543114,20484961614,16904439157,77789720274,1285650272467,5514551229,4586348614,182591339282,20844653794,17228052789,53964759848,22718551654
Shanghai Pudong (CN),CN,China,2020,1128787044430,94211362666,262864193406,190800497838,21519027399498,1720610152076,91928949463,968939229547,15854160111,3602492974,17328887435,30479276912
